practice,stim1,stim2,correctResp
1,goal,soul,1
1,smile,prod,2
1,boat,coat,1
0,know,sigh,2
0,leisure,seizure,1
0,llama,coma,2
0,tide,code,2
0,gulp,pulp,1
0,haze,doze,2
0,bare,pear,1
0,ballad,salad,1
0,libel,cable,2
0,break,steak,1
0,picket,nickel,2
0,cable,label,1
0,grief,chief,1
0,link,pint,2
0,bean,scene,1
0,limber,number,2
0,county,bounty,1
0,move,prove,1
0,pocket,locker,2
0,power,towel,2
