practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp,stimsClicked,isCorrect,response,RT,startTimePointInVideo,endTimePointInVideo,correctSFP,correctSIV,correctSSV
1,feet,rat,seat,,,yny,yny,1,,4.43770292797126,3.32482227613218,9.31852443213575,,,
1,boy,toy,bay,,,yyn,yyn,1,,3.48175422707573,10.9248750740662,15.5495686291251,,,
1,light,time,kite,,,yny,yny,1,,4.10711667197756,16.7129965180065,22.8351070641074,,,
1,bag,cat,rag,,,yny,yny,1,,3.80982084292918,23.8416539540049,28.9447647950146,,,
0,trunk,clump,stump,ssv,ccvcc,nyy,nyy,1,,6.22199715208262,29.8425595201552,37.3385581031907,0,0,1
0,bride,cloud,slide,sfp,ccvc,yny,yny,1,,3.92649259394966,38.5410248080734,43.9269557730295,1,0,1
0,pool,fin,pin,sip,cvc,nyy,nyy,1,,3.41393740195781,44.9247329949867,49.6525353251491,1,1,1
0,stove,flake,steak,sip,ccvc,nyy,nyy,1,,4.86360594700091,50.7273309521843,56.8489744530525,1,2,1
0,tracks,slacks,bricks,sfp,ccvcc,yyn,yyn,1,,3.99313458893448,58.8340523589868,64.1434663701802,2,2,1
0,tent,vent,desk,ssv,cvcc,yyn,yyn,1,,3.56462021381594,65.1400150211994,69.9887228300795,2,2,2
0,toast,list,fist,sfp,cvcc,nyy,nyy,1,,3.86443335213698,70.8198260290083,75.8818332902156,3,2,2
0,bat,fan,pan,ssv,cvc,nyy,nyy,1,,3.57559804408811,76.9777617449872,81.8979192241095,3,2,3
0,mop,top,mail,sip,cvc,yyn,yyn,1,,3.61749195796438,83.478806543164,88.4106698350515,3,3,3
0,sword,belt,board,sip,cvcc,yny,,,,,,,,,
0,plate,skate,flame,ssv,ccvc,yyn,,,,,,,,,
0,drapes,ground,grapes,sip,ccvcc,yny,,,,,,,,,
0,stick,truck,brick,sfp,ccvc,yny,,,,,,,,,
0,hut,boat,coat,sfp,cvc,nyy,,,,,,,,,
0,vest,shelf,chest,ssv,cvcc,yny,,,,,,,,,
