practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp,stimsClicked,isCorrect,response,RT,startTimePointInVideo,endTimePointInVideo,correctSFP,correctSIV,correctSSV
1,feet,rat,seat,,,yny,yny,1,,4.33761339797638,3.66859339294024,9.38427954586223,,,
1,boy,toy,bay,,,yyn,yyn,1,,3.58644387708046,11.8214211079758,16.7376965698786,,,
1,light,time,kite,,,yny,yny,1,,4.22617173311301,17.964113476919,23.6827710280195,,,
1,bag,cat,rag,,,yny,yny,1,,3.77755448711105,24.9816469340585,30.1504250508733,,,
0,vase,house,mouse,sfp,cvc,nyy,nyy,1,,5.80629397812299,31.6061509358697,38.8380533640739,0,0,0
0,drill,grill,snail,sfp,ccvc,yyn,yyn,1,,4.37253985693678,40.3196519040503,45.9745707469992,0,0,0
0,shirt,dirt,shells,sip,cvcc,yyn,yyn,1,,4.79834556602873,47.2952734190039,53.2788440759759,0,0,0
0,boy,cat,bat,sip,cvc,nyy,nyy,1,,3.70672476501204,54.7079921830446,59.7349022459239,0,0,0
0,frown,clown,frog,sip,ccvc,yyn,,,,,,,,,
0,cream,steam,plum,sfp,ccvc,yyn,,,,,,,,,
0,horn,fern,corn,sfp,cvcc,yny,,,,,,,,,
0,well,hen,bell,ssv,cvc,yny,,,,,,,,,
0,flint,plant,quint,sfp,ccvcc,yny,,,,,,,,,
0,wand,dots,pond,ssv,cvcc,yny,,,,,,,,,
0,net,head,shed,ssv,cvc,nyy,,,,,,,,,
0,stamp,branch,clamp,ssv,ccvcc,yny,,,,,,,,,
0,skunk,trunk,skirt,sip,ccvcc,yyn,,,,,,,,,
0,crane,brain,cross,sip,ccvc,yyn,,,,,,,,,
0,quilt,shrimp,blimp,ssv,ccvcc,nyy,,,,,,,,,
